星视界,#genre#
山西卫视,https://sxj.btjson.us.kg/histar.php?id=shanxi
四川卫视,https://sxj.btjson.us.kg/histar.php?id=sichuan
天津卫视,https://sxj.btjson.us.kg/histar.php?id=tianjin
厦门卫视,https://sxj.btjson.us.kg/histar.php?id=xiamen
新疆卫视,https://sxj.btjson.us.kg/histar.php?id=xinjiang
西藏卫视,https://sxj.btjson.us.kg/histar.php?id=xizang
云南卫视,https://sxj.btjson.us.kg/histar.php?id=yunnan
安徽卫视,https://sxj.btjson.us.kg/histar.php?id=anhui
河南卫视,https://sxj.btjson.us.kg/histar.php?id=henan
青海卫视,https://sxj.btjson.us.kg/histar.php?id=qinghai
甘肃卫视,https://sxj.btjson.us.kg/histar.php?id=gansu

上海都市,https://sxj.btjson.us.kg/histar.php?id=shds
上海新闻,https://sxj.btjson.us.kg/histar.php?id=shxw
五星体育,https://sxj.btjson.us.kg/histar.php?id=wxty
劲爆体育,https://sxj.btjson.us.kg/histar.php?id=jbty
广东体育,https://sxj.btjson.us.kg/histar.php?id=gdty
